pessoa_id,idade,salario_anual,situacao_moradia,tempo_de_trabalho,motivo_do_emprestimo,pontuacao,valor_emprestimo,taxa_de_juros,possibilidade_de_inadimplencia,renda_percentual,inadimplente,tempo_solicitacao
1ZbMkM4F-9u8Y,32,77400,Mortgage,0,Debtconsolidation,F,10000,18.43,1,0.13,N,6
2Mbkmbsu-7foj,NULL,30000,Rent,1,Personal,A,7200,17.58,NULL,0.14,Y,2
283zsKkk-MN9S,23,108000,Mortgage,5,Debtconsolidation,D,10000,NULL,1,0.09,Y,2
2KDiPOQQ-H7G5,32,80000,Rent,0,Debtconsolidation,C,5000,NULL,0,0.06,N,6
0PtiPv5h-nd0L,21,47580,Mortgage,5,Education,A,14000,6.03,0,0.29,N,2
2lTynmhI-fOqy,26,47000,Rent,5,Personal,B,16250,12.42,1,0.35,N,4
2zweDZ7e-CAjp,52,52000,Mortgage,1,Medical,A,17000,7.88,1,0.33,N,18
3jMKAF2o-WWZs,24,50000,Rent,0,Venture,B,7200,11.71,0,0.14,N,2
0pJARYYe-pGGm,33,57500,Rent,2,Medical,B,2000,NULL,0,0.03,N,5
2qnz5ILt-bIZi,24,40000,Rent,8,Medical,B,2800,10.25,0,0.07,N,2
2W6UAxn7-S04Z,22,45000,Mortgage,2,Education,D,8000,16.49,0,0.18,Y,4
0Sdgf36Z-auBI,22,30000,Own,6,Education,A,2500,7.29,0,0.08,N,3
0GgMo1zw-XYHR,29,26000,Own,5,Venture,B,4500,11.71,0,0.17,N,5
2UPXeNve-UJve,23,80000,Mortgage,1,Education,C,12000,13.48,0,0.15,Y,4
2F5TaIcg-lSPI,23,57000,Own,7,Education,B,4200,10.51,0,0.07,N,4
3kddPdWB-uT2q,34,86000,Rent,4,Venture,A,9950,7.88,0,0.12,N,7
1EEoZ5UL-nc5W,23,23760,Rent,2,Debtconsolidation,B,2800,NULL,0,0.12,N,2
3eMedBEu-IbSJ,26,74000,Mortgage,10,Venture,B,4475,9.99,0,0.06,N,4
2LtHXCaZ-v38v,51,76960,Mortgage,0,Personal,B,15000,9.99,0,0.19,N,20
3Bstfqhr-M0U0,24,47000,Mortgage,3,Homeimprovement,B,12000,12.21,0,0.26,N,4
38SLlzEf-P3H4,36,250000,Rent,2,Debtconsolidation,A,20000,7.88,0,0.08,N,17
29cPQupb-plS9,25,72000,Mortgage,9,Homeimprovement,D,10000,14.96,0,0.14,N,3
1RWvTfST-gQmz,24,33000,Mortgage,3,Personal,E,1250,19.29,0,0.04,N,4
0Wlf9Cwp-oOMX,29,60000,Own,1,Personal,B,10000,10.99,0,0.17,N,10
1xCUpRPS-Kruc,64,120000,Mortgage,0,Personal,B,20000,11.11,0,0.17,N,25
39HzNXOW-RdN3,26,19200,Rent,0,Debtconsolidation,B,8500,9.99,1,0.44,N,2
1a4v89iz-ESyY,28,60000,Rent,3,Medical,C,25000,13.49,1,0.42,N,10
2QHiyReb-YA0r,26,70000,Rent,2,Debtconsolidation,B,10000,9.45,0,0.14,N,3
2ySlYBCB-x0zm,25,32400,Rent,1,Homeimprovement,D,17500,15.95,1,0.54,Y,3
0DmXJAaM-fOwZ,25,120000,Rent,9,Venture,C,4800,14.22,0,0.04,N,4
265P88bY-iOZo,23,38000,Rent,4,Education,D,13000,NULL,1,0.34,N,4
1SiDLMTc-8xfw,26,45000,Rent,10,Debtconsolidation,A,15000,7.29,1,0.33,N,4
0wd2vduY-UeOc,35,58788,Mortgage,8,Debtconsolidation,B,2200,11.99,0,0.04,N,6
0Gs3vgRu-if2J,35,30000,Mortgage,2,Education,A,3300,5.99,0,0.11,N,6
0MnyqsOp-MQLy,23,58000,Mortgage,7,Medical,C,7200,11.97,1,0.12,N,3
0PXUdtSf-Hxeu,27,42000,Rent,1,Personal,B,5000,10.99,0,0.12,N,10
33GERWgu-TcBD,34,38000,Own,1,Homeimprovement,A,10000,8.94,0,0.26,N,9
345RsTbg-h6ap,24,87663,Mortgage,5,Homeimprovement,B,14400,NULL,0,0.16,N,2
0SEFcvu7-9uHx,32,131000,Mortgage,2,Debtconsolidation,B,11200,10.25,0,0.09,N,5
0YAC9XEL-iI8B,47,54996,Mortgage,7,Medical,B,9000,10.38,0,0.16,N,16
1QQPkcEF-h0mS,38,126000,Mortgage,3,Venture,D,2400,NULL,0,0.02,N,14
11wMIZih-2omy,25,30000,Own,3,Homeimprovement,B,11500,11.36,0,0.38,N,4
0KGPou9z-0CmC,32,53000,Rent,0,Debtconsolidation,B,5700,9.99,0,0.11,N,9
27yc21lz-GvUj,30,98000,Mortgage,8,Venture,A,3500,7.68,0,0.04,N,10
13FiDSjK-XGfw,22,70000,Mortgage,4,Venture,B,13750,10.75,0,0.2,N,3
38g2Wqak-9eUK,24,48000,Mortgage,7,Medical,A,12000,7.29,0,0.25,N,3
0w24F0xp-QIl0,21,12120,Rent,0,Debtconsolidation,A,3600,8.32,1,0.3,N,2
317taF9b-FQtX,25,51684,Mortgage,9,Personal,D,4000,15.99,0,0.08,N,4
05o7RxO7-9LhQ,23,65000,Rent,2,Debtconsolidation,B,3600,11.49,0,0.06,N,2
1DNNPY2K-UCJ9,26,55000,Mortgage,10,Venture,C,2800,13.49,0,0.05,N,2
17wmHS2G-QhEB,37,50000,Rent,0,Venture,B,5000,11.89,0,0.1,N,12
2tzwXmPo-alrd,22,62000,Mortgage,2,Education,A,10000,5.99,0,0.16,N,4
2B1BF9y3-nSZL,23,70550,Rent,3,Medical,F,25000,19.04,1,0.3,Y,4
1PycETDW-geLt,35,83234,Mortgage,19,Debtconsolidation,D,10000,18.25,1,0.12,Y,9
0vEDgZIn-wwya,28,54000,Mortgage,12,Medical,A,4150,7.49,0,0.08,N,6
